School No.,School Name,County,2011,2012,2013,2014,2015,2016
C210,Saint Mary School,Madison,30374.58,95869.10,201205.00,253566.70,254137.96,
B065,Saint Mary's Catholic School,Floyd,11244.28,41869.19,,,,
D285,Saint Matthew Cathedral School,St Joseph,138639.64,268742.89,726734.33,906703.47,944451.32,990720.60
C440,Saint Matthew School,Marion,38574.49,122302.66,216211.92,350408.49,485574.16,577504.17
D095,Saint Matthew School,Posey,,7275.91,36676.10,42000.03,34744.81,43476.87
B095,Saint Michael School,Franklin,11505.00,8217.00,21600.00,15700.00,21050.00,28200.00
B265,Saint Michael School,Hancock,25485.00,25300.00,124059.39,212731.02,183243.88,161090.80
B775,Saint Michael School,Lake,4500.00,7342.10,71375.91,82730.39,74418.58,86629.03
C855,Saint Michael School,Marshall,32342.12,126356.68,208098.75,261281.44,332777.52,292850.29
C650,Saint Michael The Archangel School,Marion,258439.58,526354.88,962052.14,947078.09,1134511.99,1253231.93
C445,Saint Monica School,Marion,138707.65,229336.51,538833.97,685162.67,776167.86,871061.87
A680,Saint Nicholas School,Ripley,,,,,,
D050,Saint Patrick School,Porter,3773.00,,,,,42690.00
D720,Saint Patrick School,Vigo,71504.40,181689.62,349099.75,428045.36,530592.62,553574.90
A685,Saint Paul Catholic School,Dearborn,,13143.54,37035.00,107290.10,127529.22,126316.16
D085,Saint Paul Catholic School,Porter,,,,,,46771.09
A245,Saint Paul Lutheran School,Allen,48775.61,166131.69,355405.63,393502.53,512072.60,554472.40
C130,Saint Paul Lutheran School,LaPorte,,39358.50,137122.93,230663.23,341163.99,452324.00
B155,Saint Paul Parish School,Grant,18724.30,90780.00,208475.85,266695.84,230868.27,265998.58
A550,Saint Paul School,Clark,,2578.60,47818.20,150886.51,183497.52,192487.28
C065,Saint Paul's Lutheran School,Lake,,9000.00,76747.02,78230.00,149166.57,168073.06
A040,Saint Peter Immanuel Lutheran School,Adams,,7650.00,17268.00,17000.00,17525.00,22775.00
A435,Saint Peter Lutheran School,Bartholomew,25181.46,33230.84,,,224313.34,483938.17
D375,Saint Peter Lutheran School,Starke,2485.00,18900.00,24185.00,83580.00,138161.85,182919.12
A250,Saint Peter's Lutheran School,Allen,,39715.00,186540.00,289467.41,349412.32,367359.44
C655,Saint Philip Neri School,Marion,206276.02,341189.53,827015.21,980898.51,1236561.26,1267500.58
D100,Saint Philip School,Posey,4840.00,18742.50,49085.00,68034.09,74096.41,75940.06
D164,Saint Pius X Catholic School,St Joseph,3159.91,82398.32,195860.27,277673.27,324121.21,352408.89
C450,Saint Pius X School,Marion,2766.58,26649.16,72338.98,151645.04,177513.59,171300.09
C310,Saint Roch School,Marion,55089.26,77367.22,164014.22,213268.65,281328.14,313985.25
B518,Saint Rose of Lima School,Johnson,33650.98,101672.70,246675.12,256335.86,267746.19,360515.78
C665,Saint Simon The Apostle School,Marion,9000.00,38893.59,41890.31,78058.90,119581.94,168922.72
C120,Saint Stanislaus Kostka School,LaPorte,93771.28,219514.64,404851.03,511387.36,481556.97,402964.50
B865,Saint Stanislaus School,Lake,293992.05,496103.96,744821.47,566258.04,679645.15,772445.76
B300,Saint Susanna School,Hendricks,26678.32,62506.80,151219.62,198771.77,190596.26,182996.46
D615,Saint Theresa School,Vanderburgh,72000.00,139500.00,262761.18,181413.43,,
C670,Saint Therese Little Flower School,Marion,192069.76,417326.71,701389.65,761398.76,854472.10,1136436.56
A175,Saint Therese School,Allen,136089.34,186143.02,345282.86,444697.77,607619.64,575507.61
C675,Saint Thomas Aquinas School,Marion,33394.56,35189.53,115865.59,197974.51,254449.69,235136.65
C060,Saint Thomas More School,Lake,36146.00,58568.28,102525.87,146142.23,266913.10,316855.33
A975,Saint Thomas The Apostle School,Elkhart,53176.44,118361.64,204031.18,233459.19,269902.45,276422.31
A180,Saint Vincent DePaul School,Allen,24796.13,167912.30,435601.52,557662.61,677863.94,784953.75
A980,Saint Vincent DePaul School,Elkhart,102036.44,256674.96,402151.17,340695.82,646739.81,696918.69
C160,Saint Vincent DePaul School,Lawrence,8146.00,140789.39,227083.66,300571.93,314327.45,275028.03
D105,Saint Wendel School,Posey,3190.00,,,44877.55,58817.17,73680.14
B540,Saints Francis and Clare Catholic School,Johnson,20762.84,100804.97,230811.99,370865.64,378617.13,401951.17
B395,Saints Joan of Arc & Patrick School,Howard,4927.55,56777.61,274409.81,513192.22,644764.29,668251.58
